Target,Year,TAC
Rock Sole - BSAI,1997,97185
Rock Sole - BSAI,1998,100000
Rock Sole - BSAI,1999,120000
Rock Sole - BSAI,2000,134760
Rock Sole - BSAI,2001,75000
Rock Sole - BSAI,2002,54000
Rock Sole - BSAI,2003,44000
Rock Sole - BSAI,2004,38000
Rock Sole - BSAI,2005,41500
Rock Sole - BSAI,2006,41500
Rock Sole - BSAI,2007,55000
Rock Sole - BSAI,2008,75000
Rock Sole - BSAI,2009,90000
Rock Sole - BSAI,2010,90000
Rock Sole - BSAI,2011,85000
Rock Sole - BSAI,2012,87000
Rock Sole - BSAI,2013,92380
Rock Sole - BSAI,2014,85000
Rock Sole - BSAI,2015,69250
Rock Sole - BSAI,2016,57100
Rock Sole - BSAI,2017,47100
Rock Sole - BSAI,2018,47100
Rock Sole - BSAI,2019,47100
Rock Sole - BSAI,2020,47100
Rock Sole - BSAI,2021,54500
Rock Sole - BSAI,2022,54500
Rock Sole - BSAI,2023,55000
Yellowfin Sole - BSAI,1997,230000
Yellowfin Sole - BSAI,1998,220000
Yellowfin Sole - BSAI,1999,207980
Yellowfin Sole - BSAI,2000,123262
Yellowfin Sole - BSAI,2001,113000
Yellowfin Sole - BSAI,2002,86000
Yellowfin Sole - BSAI,2003,83750
Yellowfin Sole - BSAI,2004,86075
Yellowfin Sole - BSAI,2005,90686
Yellowfin Sole - BSAI,2006,95701
Yellowfin Sole - BSAI,2007,121027
Yellowfin Sole - BSAI,2008,148894
Yellowfin Sole - BSAI,2009,103808
Yellowfin Sole - BSAI,2010,219000
Yellowfin Sole - BSAI,2011,196000
Yellowfin Sole - BSAI,2012,202000
Yellowfin Sole - BSAI,2013,198000
Yellowfin Sole - BSAI,2014,184000
Yellowfin Sole - BSAI,2015,149000
Yellowfin Sole - BSAI,2016,144000
Yellowfin Sole - BSAI,2017,154000
Yellowfin Sole - BSAI,2018,154000
Yellowfin Sole - BSAI,2019,154000
Yellowfin Sole - BSAI,2020,158518
Yellowfin Sole - BSAI,2021,200000
Yellowfin Sole - BSAI,2022,200000
Yellowfin Sole - BSAI,2023,230000
Pollock - bottom,1997,1130000
Pollock - bottom,1998,1110000
Pollock - bottom,1999,992000
Pollock - bottom,2000,1139000
Pollock - bottom,2001,1400000
Pollock - bottom,2002,1485000
Pollock - bottom,2003,1491760
Pollock - bottom,2004,1492000
Pollock - bottom,2005,1478500
Pollock - bottom,2006,1485000
Pollock - bottom,2007,1394000
Pollock - bottom,2008,1000000
Pollock - bottom,2009,815000
Pollock - bottom,2010,813000
Pollock - bottom,2011,1252000
Pollock - bottom,2012,1200000
Pollock - bottom,2013,1247000
Pollock - bottom,2014,1267000
Pollock - bottom,2015,1310000
Pollock - bottom,2016,1340000
Pollock - bottom,2017,1345000
Pollock - bottom,2018,1364341
Pollock - bottom,2019,1397000
Pollock - bottom,2020,1425000
Pollock - bottom,2021,1375000
Pollock - bottom,2022,1400000
Flathead Sole,1997,43500
Flathead Sole,1998,100000
Flathead Sole,1999,77300
Flathead Sole,2000,52652
Flathead Sole,2001,40000
Flathead Sole,2002,25000
Flathead Sole,2003,20000
Flathead Sole,2004,19000
Flathead Sole,2005,19500
Flathead Sole,2006,19500
Flathead Sole,2007,30000
Flathead Sole,2008,50000
Flathead Sole,2009,60000
Flathead Sole,2010,60000
Flathead Sole,2011,41500
Flathead Sole,2012,34100
Flathead Sole,2013,22699
Flathead Sole,2014,24500
Flathead Sole,2015,24250
Flathead Sole,2016,21000
Flathead Sole,2017,14500
Flathead Sole,2018,14500
Flathead Sole,2019,14500
Flathead Sole,2020,19500
Flathead Sole,2021,25000
Flathead Sole,2022,25000
Pacific Cod,1997,270000
Pacific Cod,1998,210000
Pacific Cod,1999,177000
Pacific Cod,2000,193000
Pacific Cod,2001,188000
Pacific Cod,2002,200000
Pacific Cod,2003,207500
Pacific Cod,2004,215500
Pacific Cod,2005,206000
Pacific Cod,2006,190000
Pacific Cod,2007,170720
Pacific Cod,2008,170720
Pacific Cod,2009,176540
Pacific Cod,2010,168780
Pacific Cod,2011,227950
Pacific Cod,2012,275000
Pacific Cod,2013,260000
Pacific Cod,2014,246897
Pacific Cod,2015,240000
Pacific Cod,2016,238680
Pacific Cod,2017,223704
Pacific Cod,2018,188136
Pacific Cod,2019,166475
Pacific Cod,2020,141799
Pacific Cod,2021,111380
Pacific Cod,2022,95053
Other Flatfish - BSAI,1997,50750
Other Flatfish - BSAI,1998,89434
Other Flatfish - BSAI,1999,154000
Other Flatfish - BSAI,2000,83813
Other Flatfish - BSAI,2001,28000
Other Flatfish - BSAI,2002,3000
Other Flatfish - BSAI,2003,3000
Other Flatfish - BSAI,2004,2775
Other Flatfish - BSAI,2005,3500
Other Flatfish - BSAI,2006,3500
Other Flatfish - BSAI,2007,10000
Other Flatfish - BSAI,2008,21600
Other Flatfish - BSAI,2009,17400
Other Flatfish - BSAI,2010,17300
Other Flatfish - BSAI,2011,3000
Other Flatfish - BSAI,2012,3200
Other Flatfish - BSAI,2013,3500
Other Flatfish - BSAI,2014,2650
Other Flatfish - BSAI,2015,3620
Other Flatfish - BSAI,2016,2500
Other Flatfish - BSAI,2017,2500
Other Flatfish - BSAI,2018,4000
Other Flatfish - BSAI,2019,6500
Other Flatfish - BSAI,2020,4000
Other Flatfish - BSAI,2021,6500
Other Flatfish - BSAI,2022,6500
